metric,cohort,count,missing_count,positive_count,positive_rate,min,mean,median,p75,p90,p95,p99,max
exit_edge_after_spread,overall,0,25,0,0.0,,,,,,,,
estimated_edge_after_spread,overall,0,25,0,0.0,,,,,,,,
exit_edge_ticks,overall,0,25,0,0.0,,,,,,,,
exit_edge_after_spread,by_quality_tier:A,0,0,0,0.0,,,,,,,,
estimated_edge_after_spread,by_quality_tier:A,0,0,0,0.0,,,,,,,,
exit_edge_ticks,by_quality_tier:A,0,0,0,0.0,,,,,,,,
exit_edge_after_spread,by_quality_tier:B,0,14,0,0.0,,,,,,,,
estimated_edge_after_spread,by_quality_tier:B,0,14,0,0.0,,,,,,,,
exit_edge_ticks,by_quality_tier:B,0,14,0,0.0,,,,,,,,
exit_edge_after_spread,by_quality_tier:C,0,11,0,0.0,,,,,,,,
estimated_edge_after_spread,by_quality_tier:C,0,11,0,0.0,,,,,,,,
exit_edge_ticks,by_quality_tier:C,0,11,0,0.0,,,,,,,,
exit_edge_after_spread,by_quality_tier:D,0,0,0,0.0,,,,,,,,
estimated_edge_after_spread,by_quality_tier:D,0,0,0,0.0,,,,,,,,
exit_edge_ticks,by_quality_tier:D,0,0,0,0.0,,,,,,,,
exit_edge_after_spread,by_validation_mode:strict,0,0,0,0.0,,,,,,,,
estimated_edge_after_spread,by_validation_mode:strict,0,0,0,0.0,,,,,,,,
exit_edge_ticks,by_validation_mode:strict,0,0,0,0.0,,,,,,,,
exit_edge_after_spread,by_validation_mode:tolerant,0,25,0,0.0,,,,,,,,
estimated_edge_after_spread,by_validation_mode:tolerant,0,25,0,0.0,,,,,,,,
exit_edge_ticks,by_validation_mode:tolerant,0,25,0,0.0,,,,,,,,
exit_edge_after_spread,by_validation_mode:diagnostic,0,0,0,0.0,,,,,,,,
estimated_edge_after_spread,by_validation_mode:diagnostic,0,0,0,0.0,,,,,,,,
exit_edge_ticks,by_validation_mode:diagnostic,0,0,0,0.0,,,,,,,,
exit_edge_after_spread,by_validation_mode:unknown,0,0,0,0.0,,,,,,,,
estimated_edge_after_spread,by_validation_mode:unknown,0,0,0,0.0,,,,,,,,
exit_edge_ticks,by_validation_mode:unknown,0,0,0,0.0,,,,,,,,
exit_edge_after_spread,by_symbol:ETHUSDT,0,25,0,0.0,,,,,,,,
estimated_edge_after_spread,by_symbol:ETHUSDT,0,25,0,0.0,,,,,,,,
exit_edge_ticks,by_symbol:ETHUSDT,0,25,0,0.0,,,,,,,,
exit_edge_after_spread,by_direction:DOWN,0,24,0,0.0,,,,,,,,
estimated_edge_after_spread,by_direction:DOWN,0,24,0,0.0,,,,,,,,
exit_edge_ticks,by_direction:DOWN,0,24,0,0.0,,,,,,,,
exit_edge_after_spread,by_direction:UP,0,1,0,0.0,,,,,,,,
estimated_edge_after_spread,by_direction:UP,0,1,0,0.0,,,,,,,,
exit_edge_ticks,by_direction:UP,0,1,0,0.0,,,,,,,,
exit_edge_after_spread,by_duration_minutes:15,0,12,0,0.0,,,,,,,,
estimated_edge_after_spread,by_duration_minutes:15,0,12,0,0.0,,,,,,,,
exit_edge_ticks,by_duration_minutes:15,0,12,0,0.0,,,,,,,,
exit_edge_after_spread,by_duration_minutes:5,0,13,0,0.0,,,,,,,,
estimated_edge_after_spread,by_duration_minutes:5,0,13,0,0.0,,,,,,,,
exit_edge_ticks,by_duration_minutes:5,0,13,0,0.0,,,,,,,,
