metric,cohort,count,missing_count,min,mean,median,p75,p90,p95,p99,max
mid_repricing_delay_ms,overall,555,1902,2.6027,882.2340124324323,500.1687,1132.7906,2525.4308,3428.0931,4467.6222,4823.5683
executable_repricing_delay_ms,overall,110,2347,114.9011,1666.3111681818182,1341.11585,2495.1265,3437.1235,3889.589,4482.3117,4627.7975
tradable_window_ms,overall,2457,0,0.0,814.2209805046805,52.0266,934.7477,3232.1228,4866.9496,4999.0311,5292.4725
binance_quote_age_ms,overall,2457,0,0.0,35.57894102564103,2.4596,24.2517,59.6113,106.5594,941.8958,1284.2848
polymarket_quote_age_ms,overall,2457,0,0.0,299.75945433455433,0.4141,20.9131,346.8886,1506.1952,6949.3516,17529.1033
mid_repricing_delay_ms,by_quality_tier:A,133,333,5.7631,913.555222556391,438.2129,1145.7298,2749.7433,3927.1663,4437.1847,4606.9279
executable_repricing_delay_ms,by_quality_tier:A,19,447,457.9082,1885.9864631578948,1559.503,2761.7337,3248.5603,3421.4699,4083.8678,4083.8678
tradable_window_ms,by_quality_tier:A,466,0,0.0,1117.7432103004292,271.0172,1607.0403,4096.6719,4950.8894,4999.6123,5107.0974
binance_quote_age_ms,by_quality_tier:A,466,0,0.0,60.326197424892705,12.463149999999999,38.0624,86.0064,204.9635,1128.7099,1226.0204
polymarket_quote_age_ms,by_quality_tier:A,466,0,0.0,11.77629763948498,0.0,1.3019,13.1449,38.1158,297.5892,714.2815
mid_repricing_delay_ms,by_quality_tier:B,373,939,3.6927,894.938018230563,518.8945,1119.0059,2525.4308,3428.0931,4598.3908,4823.5683
executable_repricing_delay_ms,by_quality_tier:B,82,1230,114.9011,1592.2571341463415,1135.5093000000002,2587.5553,3630.2874,3818.2956,4224.3518,4482.3117
tradable_window_ms,by_quality_tier:B,1312,0,0.0,1049.8312318597561,282.78075,1393.3752,4264.6911,4957.8045,4999.4091,5292.4725
binance_quote_age_ms,by_quality_tier:B,1312,0,0.0,41.026620655487804,8.2751,32.8557,69.6442,119.404,941.8958,1284.2848
polymarket_quote_age_ms,by_quality_tier:B,1312,0,0.0,24.432191996951218,0.0,3.5871,24.5059,55.3606,311.9311,3453.526
mid_repricing_delay_ms,by_quality_tier:C,49,110,2.6027,700.5132959183674,465.5825,1039.9301,1528.7515,1959.7446,2721.5535,2721.5535
executable_repricing_delay_ms,by_quality_tier:C,9,150,434.5382,1877.2667444444442,1680.6026,2265.2058,2495.1265,4627.7975,4627.7975,4627.7975
